fe.id,fe.channel,fe.data,detector.id,detector.plane,detector.segment,detector.channel,detector.data
0xc0a802a9,8,0,utof,0,0,left,0
0xc0a802a9,10,0,utof,0,0,right,0
0xc0a802aa,0,0,dtof,0,0,left,0
0xc0a802aa,4,0,dtof,0,0,right,0
0xc0a802aa,2,0,dtof,0,1,left,0
0xc0a802aa,7,0,dtof,0,1,right,0
0xc0a802aa,1,0,dtof,0,2,left,0
0xc0a802aa,5,0,dtof,0,2,right,0
0xc0a802aa,16,0,ltof,0,0,left,0
0xc0a802aa,22,0,ltof,0,0,right,0
0xc0a802aa,19,0,ltof,0,1,left,0
0xc0a802aa,25,0,ltof,0,1,right,0
0xc0a802aa,17,0,ltof,0,2,left,0
0xc0a802aa,23,0,ltof,0,2,right,0
0xc0a802aa,20,0,ltof,0,3,left,0
0xc0a802aa,27,0,ltof,0,3,right,0
0xc0a802aa,18,0,ltof,0,4,left,0
0xc0a802aa,24,0,ltof,0,4,right,0
0xc0a802aa,21,0,ltof,0,5,left,0
0xc0a802aa,28,0,ltof,0,5,right,0
0xc0a802a9,16,0,t0,0,0,top,0
0xc0a802a9,24,0,t0,0,0,bottom,0
0xc0a802a9,20,0,t0,0,1,top,0
0xc0a802a9,28,0,t0,0,1,bottom,0
0xc0a802a9,17,0,t0,0,2,top,0
0xc0a802a9,25,0,t0,0,2,bottom,0
0xc0a802a9,21,0,t0,0,3,top,0
0xc0a802a9,29,0,t0,0,3,bottom,0
0xc0a802a9,18,0,t0,0,4,top,0
0xc0a802a9,26,0,t0,0,4,bottom,0
0xc0a802a9,22,0,t0,0,5,top,0
0xc0a802a9,30,0,t0,0,5,bottom,0
0xc0a802a9,19,0,t0,0,6,top,0
0xc0a802a9,27,0,t0,0,6,bottom,0
0xc0a802a9,23,0,t0,0,7,top,0
0xc0a802a9,31,0,t0,0,7,bottom,0
0xc0a802a9,0,0,t0ref,0,0,top,0
0xc0a802a9,4,0,t0ref,0,0,bottom,0
0xc0a802aa,10,0,t1,0,0,left,0
0xc0a802aa,12,0,t1,0,0,right,0
0xc0a802a0,10,0,all_charged,0,0,left,0
0xc0a802a0,12,0,all_charged,0,0,right,0
0xc0a802a9,12,0,bftref,0,0,upstream,0
0xc0a802a9,14,0,bftref,0,0,downstream,0
0xc0a802aa,14,0,bht,0,0,0,0
0xc0a802a1,26,0,bdc,X,1,0,0
0xc0a802a1,28,0,bdc,X,1,1,0
0xc0a802a1,30,0,bdc,X,1,2,0
0xc0a802a1,31,0,bdc,X,1,3,0
0xc0a802a1,29,0,bdc,X,1,4,0
0xc0a802a1,27,0,bdc,X,1,5,0
0xc0a802a1,25,0,bdc,X,1,6,0
0xc0a802a1,56,0,bdc,X,1,7,0
0xc0a802a1,58,0,bdc,X,1,8,0
0xc0a802a1,60,0,bdc,X,1,9,0
0xc0a802a1,62,0,bdc,X,1,10,0
0xc0a802a1,63,0,bdc,X,1,11,0
0xc0a802a1,61,0,bdc,X,1,12,0
0xc0a802a1,59,0,bdc,X,1,13,0
0xc0a802a1,57,0,bdc,X,1,14,0
0xc0a802a1,88,0,bdc,X,1,15,0
0xc0a802a1,90,0,bdc,X,1,16,0
0xc0a802a1,92,0,bdc,X,1,17,0
0xc0a802a1,94,0,bdc,X,1,18,0
0xc0a802a1,95,0,bdc,X,1,19,0
0xc0a802a1,93,0,bdc,X,1,20,0
0xc0a802a1,91,0,bdc,X,1,21,0
0xc0a802a1,89,0,bdc,X,1,22,0
0xc0a802a1,120,0,bdc,X,1,23,0
0xc0a802a1,122,0,bdc,X,1,24,0
0xc0a802a1,124,0,bdc,X,1,25,0
0xc0a802a1,126,0,bdc,X,1,26,0
0xc0a802a1,127,0,bdc,X,1,27,0
0xc0a802a1,125,0,bdc,X,1,28,0
0xc0a802a1,123,0,bdc,X,1,29,0
0xc0a802a1,121,0,bdc,X,1,30,0
0xc0a802a2,24,0,bdc,X,1,31,0
0xc0a802a2,26,0,bdc,X,1,32,0
0xc0a802a2,28,0,bdc,X,1,33,0
0xc0a802a2,30,0,bdc,X,1,34,0
0xc0a802a2,31,0,bdc,X,1,35,0
0xc0a802a2,29,0,bdc,X,1,36,0
0xc0a802a2,27,0,bdc,X,1,37,0
0xc0a802a2,25,0,bdc,X,1,38,0
0xc0a802a2,56,0,bdc,X,1,39,0
0xc0a802a2,58,0,bdc,X,1,40,0
0xc0a802a2,60,0,bdc,X,1,41,0
0xc0a802a2,62,0,bdc,X,1,42,0
0xc0a802a2,63,0,bdc,X,1,43,0
0xc0a802a2,61,0,bdc,X,1,44,0
0xc0a802a2,59,0,bdc,X,1,45,0
0xc0a802a2,57,0,bdc,X,1,46,0
0xc0a802a2,88,0,bdc,X,1,47,0
0xc0a802a2,90,0,bdc,X,1,48,0
